Instrument,ISIN,ISIX,WKN,Mnemonic,MIC Code,URL,,,,,,,,,,,,,,,,,,,,,,,Start Intraday Auction 10,Start Closing Auction
JUNGHEINRICH AG O.N.VZO,DE0006219934,70,621993,3-Jun,XETR,http://www.finanzen.at/aktien/Jungheinrich-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
INTERTAINMENT O.N.,DE0006223605,183,622360,ITN,XETR,http://www.finanzen.at/aktien/INTERTAINMENT-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
I:FAO AG NA O.N.,DE0006224520,17435,622452,FAO2,XETR,NONE,,,,,,,,,,,,,,,,,,,,,,,,17:30
JENOPTIK AG O.N.,DE0006229107,1561,622910,JEN,XETR,http://www.finanzen.at/aktien/JENOPTIK-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
INFINEON TECH.AG NA O.N.,DE0006231004,829,623100,IFX,XETR,http://www.finanzen.at/aktien/Infineon-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
ARCANDOR AG O.N.,DE0006275001,72,627500,ARO,XETR,http://www.finanzen.at/aktien/ARCANDOR-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
OVB HOLDING AG,DE0006286560,5535,628656,O4B,XETR,http://www.finanzen.at/aktien/OVB-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
KSB AG O.N. ST,DE0006292006,1554,629200,KSB,XETR,http://www.finanzen.at/aktien/KSB-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
KSB AG O.N. VZO,DE0006292030,75,629203,KSB3,XETR,http://www.finanzen.at/aktien/KSB_vz-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
DEUTZ AG O.N.,DE0006305006,76,630500,DEZ,XETR,http://www.finanzen.at/aktien/DEUTZ-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
KRONES AG O.N.,DE0006335003,2430,633500,KRN,XETR,http://www.finanzen.at/aktien/KRONES-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
LPKF LASER+ELECTRON.,DE0006450000,2421,645000,LPK,XETR,http://www.finanzen.at/aktien/LPKF_LaserElectronics-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
NEMETSCHEK SE O.N.,DE0006452907,2037,645290,NEM,XETR,http://www.finanzen.at/aktien/Nemetschek-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
LANG+SCHWARZ AG NA,DE0006459324,12159,645932,LUS,XETR,http://www.finanzen.at/aktien/LangSchwarz_Aktiengesellschaft-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
LEIFHEIT AG O.N.,DE0006464506,1536,646450,LEI,XETR,http://www.finanzen.at/aktien/LEIFHEIT-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
LINDE AG O.N.,DE0006483001,80,648300,LIN,XETR,http://www.finanzen.at/aktien/Linde-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
ALBIS LEASING AG O.N.,DE0006569403,1523,656940,ALG,XETR,http://www.finanzen.at/aktien/ALBIS_Leasing-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
MLP AG,DE0006569908,1522,656990,MLP,XETR,http://www.finanzen.at/aktien/MLP-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
NANOREPRO AG,DE0006577109,3391,657710,NN6,XETR,http://www.finanzen.at/aktien/NanoRepro-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
KHD HUMBOLDT WEDAG O.N.,DE0006578008,1521,657800,KWG,XETR,http://www.finanzen.at/aktien/KHD_Humboldt_Wedag_International-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
MENSCH UND MASCH.O.N.,DE0006580806,84,658080,MUM,XETR,http://www.finanzen.at/aktien/Mensch_und_Maschine_Software-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
MAX AUTOMATION AG  O.N.,DE0006580905,1518,658090,MXH,XETR,http://www.finanzen.at/aktien/MAX_Automation-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
MEDICLIN AG,DE0006595101,772,659510,MED,XETR,http://www.finanzen.at/aktien/MediClin-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
MERCK KGAA O.N.,DE0006599905,85,659990,MRK,XETR,http://www.finanzen.at/aktien/Merck-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
GEA GROUP AG,DE0006602006,86,660200,G1A,XETR,http://www.finanzen.at/aktien/GEA_Group-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
MEDION AG O.N.,DE0006605009,2305,660500,MDN,XETR,http://www.finanzen.at/aktien/MEDION-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
MEDICAL COLUMBUS O.N.,DE0006618309,1676,661830,MCE,XETR,http://www.finanzen.at/aktien/Medical_Columbus-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
MUEHLBAUER HOLD.AG O.N.,DE0006627201,2301,662720,MUB,XETR,http://www.finanzen.at/aktien/Muehlbauer-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
MORPHOSYS AG O.N.,DE0006632003,1382,663200,MOR,XETR,http://www.finanzen.at/aktien/MorphoSys-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
VA-Q-TEC AG NA O.N.,DE0006636681,1900,663668,VQT,XETR,http://www.finanzen.at/aktien/va-Q-tec-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
MOLOGEN AG,DE0006637200,1504,663720,MGN,XETR,http://www.finanzen.at/aktien/MOLOGEN-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
MWB FAIRTRADE WPHDLSBK AG,DE0006656101,2533,665610,MWB,XETR,http://www.finanzen.at/aktien/MWB_Wertpapierhandelsbank-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
AUDI AG O.N.,DE0006757008,1060,675700,NSU,XETR,http://www.finanzen.at/aktien/Audi-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
AURUBIS AG,DE0006766504,2323,676650,NDA,XETR,http://www.finanzen.at/aktien/Aurubis-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
NORDWEST HANDEL AG,DE0006775505,640,677550,NWX,XETR,http://www.finanzen.at/aktien/NORDWEST_HANDEL-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
PFEIFFER VACUUM TECH.O.N.,DE0006916604,91,691660,PFV,XETR,http://www.finanzen.at/aktien/Pfeiffer_Vacuum-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
PA POWER AUTOM.AG,DE0006924400,819,692440,PPA,XETR,http://www.finanzen.at/aktien/PA_Power_Automation-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
SCHERZER U. CO. AG O.N.,DE0006942808,120,694280,PZS,XETR,http://www.finanzen.at/aktien/ScherzerCo-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
PRO DV AG O.N.,DE0006967805,3052,696780,PDA,XETR,http://www.finanzen.at/aktien/PRO_DV-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
PROGRESS-WERK OBERK. O.N.,DE0006968001,1478,696800,PWO,XETR,http://www.finanzen.at/aktien/Progress-Werk_Oberkirch-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
PUMA SE,DE0006969603,95,696960,PUM,XETR,http://www.finanzen.at/aktien/PUMA-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
PUBLITY AG NA O.N.,DE0006972508,958,697250,PBY,XETR,http://www.finanzen.at/aktien/publity-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
REALTECH AG O.N.,DE0007008906,2552,700890,RTC,XETR,http://www.finanzen.at/aktien/REALTECH-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
RATIONAL AG,DE0007010803,177,701080,RAA,XETR,http://www.finanzen.at/aktien/RATIONAL-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
RHEINMETALL AG,DE0007030009,98,703000,RHM,XETR,http://www.finanzen.at/aktien/Rheinmetall-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
RWE AG ST O.N.,DE0007037129,16753,703712,RWE,XETR,http://www.finanzen.at/aktien/RWE-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
RWE AG VZO O.N.,DE0007037145,16481,703714,RWE3,XETR,http://www.finanzen.at/aktien/RWE_vz-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
RHOEN-KLINIKUM O.N.,DE0007042301,1468,704230,RHK,XETR,http://www.finanzen.at/aktien/RHOEN-KLINIKUM-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
KWS SAAT SE O.N.,DE0007074007,14937,707400,KWS,XETR,http://www.finanzen.at/aktien/KWS_SAAT-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
DAIMLER AG NA O.N.,DE0007100000,2451,710000,DAI,XETR,http://www.finanzen.at/aktien/Daimler-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
SAP SE O.N.,DE0007164600,106,716460,SAP,XETR,http://www.finanzen.at/aktien/SAP-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
SARTORIUS AG O.N.,DE0007165607,1459,716560,SRT,XETR,http://www.finanzen.at/aktien/Sartorius-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
SARTORIUS AG VZO O.N.,DE0007165631,1458,716563,SRT3,XETR,http://www.finanzen.at/aktien/Sartorius_vz-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
SCHALTBAU HOLDING O.N,DE0007170300,1455,717030,SLT,XETR,http://www.finanzen.at/aktien/Schaltbau-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
KOENIG + BAUER AG ST O.N.,DE0007193500,3090,719350,SKB,XETR,http://www.finanzen.at/aktien/KoenigBauer-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
FIRST SENSOR AG O.N.,DE0007201907,2729,720190,SIS,XETR,http://www.finanzen.at/aktien/First_Sensor-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
SNP SCHNEID.-NEUREIT.O.N.,DE0007203705,15498,720370,SHF,XETR,http://www.finanzen.at/aktien/SNP_Schneider-NeureitherPartner-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
SCHLOSS WACHENHEIM AG O.N,DE0007229007,1440,722900,SWA,XETR,http://www.finanzen.at/aktien/Schloss_Wachenheim-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
SIXT SE ST O.N.,DE0007231326,111,723132,SIX2,XETR,http://www.finanzen.at/aktien/Sixt-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
SIXT SE VZO O.N.,DE0007231334,1438,723133,SIX3,XETR,http://www.finanzen.at/aktien/Sixt_vz-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
SGL CARBON SE O.N.,DE0007235301,112,723530,SGL,XETR,http://www.finanzen.at/aktien/SGL_Carbon-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
SIEMENS AG NA,DE0007236101,2807,723610,SIE,XETR,http://www.finanzen.at/aktien/Siemens-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
STADA ARZNEIMITT.VNA O.N.,DE0007251803,1429,725180,SAZ,XETR,http://www.finanzen.at/aktien/STADA-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
METRO AG ST O.N.,DE0007257503,117,725750,MEO,XETR,http://www.finanzen.at/aktien/METRO-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
METRO AG VZO O.N.,DE0007257537,118,725753,MEO3,XETR,http://www.finanzen.at/aktien/METRO_vz-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
STO SE+CO.KGAA VZO O.N.,DE0007274136,1423,727413,STO3,XETR,http://www.finanzen.at/aktien/STO-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
SECUNET SECURITY AG O.N.,DE0007276503,723,727650,YSN,XETR,http://www.finanzen.at/aktien/secunet_Security_Networks-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
SPL.MEDIEN AG O.N.,DE0007279507,3133,727950,SPM,XETR,http://www.finanzen.at/aktien/Splendid_Medien-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
SUEDZUCKER AG  O.N.,DE0007297004,1415,729700,SZU,XETR,http://www.finanzen.at/aktien/Suedzucker-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
HEIDELBERG.DRUCKMA.O.N.,DE0007314007,121,731400,HDD,XETR,http://www.finanzen.at/aktien/Heidelberger_Druckmaschinen-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
TAKKT AG O.N.,DE0007446007,3089,744600,TTK,XETR,http://www.finanzen.at/aktien/TAKKT-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
IVU TRAFFIC TECHN.AG O.N.,DE0007448508,7926,744850,IVU,XETR,http://www.finanzen.at/aktien/IVU_Traffic_Technologies-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
TELES AG INFORM.TECHN.,DE0007454902,1409,745490,TLI,XETR,http://www.finanzen.at/aktien/TELES-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
PVA TEPLA AG O.N.,DE0007461006,2659,746100,TPE,XETR,http://www.finanzen.at/aktien/PVA_TePla-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
WIRECARD AG,DE0007472060,7479,747206,WDI,XETR,http://www.finanzen.at/aktien/Wirecard-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
DEUTSCHE EUROSHOP AG O.N.,DE0007480204,11644,748020,DEQ,XETR,http://www.finanzen.at/aktien/Deutsche_Euroshop-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
STROEER SE + CO. KGAA,DE0007493991,5151,749399,SAX,XETR,http://www.finanzen.at/aktien/Stroeer_SE-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
TRIPLAN AG O.N.,DE0007499303,13061,749930,TPN,XETR,http://www.finanzen.at/aktien/TRIPLAN-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
THYSSENKRUPP AG O.N.,DE0007500001,2481,750000,TKA,XETR,http://www.finanzen.at/aktien/thyssenkrupp-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
WASHTEC AG O.N.,DE0007507501,1399,750750,WSU,XETR,http://www.finanzen.at/aktien/WashTec-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
BEATE UHSE AG,DE0007551400,2625,755140,USE,XETR,http://www.finanzen.at/aktien/Beate_Uhse-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
UZIN UTZ AG O.N.,DE0007551509,1398,755150,UZU,XETR,http://www.finanzen.at/aktien/UZIN_UTZ-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
SFC ENERGY AG,DE0007568578,10743,756857,F3C,XETR,http://www.finanzen.at/aktien/SFC_Energy-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
GK SOFTWARE O.N.,DE0007571424,1718,757142,GKS,XETR,http://www.finanzen.at/aktien/GK_SOFTWARE-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
GOING PUBLIC MEDIA AG,DE0007612103,12446,761210,G6P,XETR,http://www.finanzen.at/aktien/GoingPublic_Media-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
VILLEROY + BOCH AG VZ,DE0007657231,1387,765723,VIB3,XETR,http://www.finanzen.at/aktien/VilleroyBoch_AG-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
VOLKSWAGEN AG ST O.N.,DE0007664005,129,766400,VOW,XETR,http://www.finanzen.at/aktien/Volkswagen-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
VOLKSWAGEN AG VZO O.N.,DE0007664039,130,766403,VOW3,XETR,http://www.finanzen.at/aktien/Volkswagen_vz-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
VOSSLOH AG O.N.,DE0007667107,131,766710,VOS,XETR,http://www.finanzen.at/aktien/Vossloh-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
H+R KGAA  INH. O.N.,DE0007757007,1373,775700,2HR,XETR,http://www.finanzen.at/aktien/H&R-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
WESTAG + GETALIT ST O.N.,DE0007775207,1364,777520,WUG,XETR,http://www.finanzen.at/aktien/WestagGetalit-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
WESTAG + GETALIT VZO O.N.,DE0007775231,1363,777523,WUG3,XETR,http://www.finanzen.at/aktien/WestagGetalit_vz-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
VASCORY AG  O.N.,DE0007786303,878,778630,BSW,XETR,http://www.finanzen.at/aktien/Vascory-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
ALNO AG,DE0007788408,1358,778840,ANO,XETR,http://www.finanzen.at/aktien/Alno-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
DALDRUP+SOEHNE AG,DE0007830572,18027,783057,4DS,XETR,http://www.finanzen.at/aktien/DaldrupSoehne-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
IFA SYSTEMS AG,DE0007830788,2411,783078,IS8,XETR,http://www.finanzen.at/aktien/ifa_systems-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
VISCOM AG O.N.,DE0007846867,10644,784686,V6C,XETR,http://www.finanzen.at/aktien/Viscom-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
ELRINGKLINGER AG NA O.N.,DE0007856023,4035,785602,ZIL2,XETR,http://www.finanzen.at/aktien/ElringKlinger-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
KLASSIK RADIO AG NA O.N.,DE0007857476,5749,785747,KA8,XETR,http://www.finanzen.at/aktien/Klassik_Radio-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
DT.PFANDBRIEFBK AG,DE0008019001,2202,801900,PBB,XETR,http://www.finanzen.at/aktien/Deutsche-Pfandbriefbank-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
DT.EFF.U.WECH.-BET.G.O.N.,DE0008041005,1338,804100,EFF,XETR,http://www.finanzen.at/aktien/DEWB-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
WUESTENROT+WUERTT.AG O.N.,DE0008051004,3078,805100,WUW,XETR,http://www.finanzen.at/aktien/WuestenrotWuerttembergische-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
MERKUR BANK KGAA .O.N.,DE0008148206,15495,814820,MBK,XETR,http://www.finanzen.at/aktien/MERKUR_BANK-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
LUFTHANSA AG VNA O.N.,DE0008232125,143,823212,LHA,XETR,http://www.finanzen.at/aktien/Lufthansa-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
TAG IMMOBILIEN AG,DE0008303504,1824,830350,TEG,XETR,http://www.finanzen.at/aktien/TAG_Immobilien-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
HANNOVER RUECK SE NA O.N.,DE0008402215,5401,840221,HNR1,XETR,http://www.finanzen.at/aktien/Hannover_Rueck-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
ALLIANZ SE NA O.N.,DE0008404005,146,840400,ALV,XETR,http://www.finanzen.at/aktien/Allianz-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
MUENCH.RUECKVERS.VNA O.N.,DE0008430026,151,843002,MUV2,XETR,http://www.finanzen.at/aktien/Muenchener_Rueck-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
NUERNBERGER BET.AG VNA,DE0008435967,1300,843596,NBG6,XETR,http://www.finanzen.at/aktien/Nuernberger_Beteiligungs-AG-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
"BP PLC DZ/1 DL-,25",DE0008618737,1120,861873,BPE,XETR,http://www.finanzen.at/aktien/BP_1-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
CONSTANTIN MEDIEN AG O.N.,DE0009147207,3067,914720,EV4,XETR,http://www.finanzen.at/aktien/Constantin_Medien-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
PEARL GOLD AG,DE000A0AFGF3,264,000A0AFGF,02P,XETR,http://www.finanzen.at/aktien/PEARL_GOLD-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
PAION O.N,DE000A0B65S3,8116,000A0B65S,PA8,XETR,http://www.finanzen.at/aktien/PAION-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
JDC GROUP AG O.N.,DE000A0B9N37,9521,000A0B9N3,A8A,XETR,http://www.finanzen.at/aktien/JDC_Group-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
COREO AG   O.N.,DE000A0B9VV6,1623,000A0B9VV,NNS,XETR,http://www.finanzen.at/aktien/Coreo-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
VITA 34 AG NA O.N.,DE000A0BL849,14845,000A0BL84,V3V,XETR,http://www.finanzen.at/aktien/Vita_34-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
USU SOFTWARE AG,DE000A0BVU28,5268,000A0BVU2,OSP2,XETR,http://www.finanzen.at/aktien/USU_Software-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
PHOENIX SOLAR AG  O.N.,DE000A0BVU93,5485,000A0BVU9,PS4,XETR,http://www.finanzen.at/aktien/Phoenix_Solar-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
WINCOR NIXDORF O.N.,DE000A0CAYB2,4723,000A0CAYB,WIN,XETR,http://www.finanzen.at/aktien/Wincor_Nixdorf-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
NORDEX SE O.N.,DE000A0D6554,5631,000A0D655,NDX1,XETR,http://www.finanzen.at/aktien/Nordex-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
MAX21 AG,DE000A0D88T9,12558,000A0D88T,MA1,XETR,http://www.finanzen.at/aktien/MAX21-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
MTU AERO ENGINES NA O.N.,DE000A0D9PT0,1457,000A0D9PT,MTX,XETR,http://www.finanzen.at/aktien/MTU_Aero_Engines-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
SMA SOLAR TECHNOL.AG,DE000A0DJ6J9,2873,000A0DJ6J,S92,XETR,http://www.finanzen.at/aktien/SMA_Solar_Technology-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
BET-AT-HOME.COM AG O.N.,DE000A0DNAY5,8056,000A0DNAY,ACX,XETR,http://www.finanzen.at/aktien/bet-at-homecom-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
SIXT LEASING O.N.,DE000A0DPRE6,743,000A0DPRE,LNSX,XETR,http://www.finanzen.at/aktien/Sixt_Leasing-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
OEKOWORLD AG VZNA O.N.,DE000A0EKMG1,1288,000A0EKMG,VVV1,XETR,http://www.finanzen.at/aktien/versiko_Vz_ohne_Stimmrecht_Em_05-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
INTERSHOP COMM.,DE000A0EPUH1,1944,000A0EPUH,ISH2,XETR,http://www.finanzen.at/aktien/Intershop_Communications-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
HELMA EIGENHEIMBAU AG,DE000A0EQ578,11995,000A0EQ57,H5E,XETR,http://www.finanzen.at/aktien/Helma_Eigenheimbau-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
MBB SE O.N.,DE000A0ETBQ4,7993,000A0ETBQ,MBB,XETR,http://www.finanzen.at/aktien/MBB_SE-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
PRAKTIKER AG O.N.,DE000A0F6MD5,4721,000A0F6MD,PRA,XETR,http://www.finanzen.at/aktien/Praktiker-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
MVV ENERGIE AG NA O.N.,DE000A0H52F5,11404,000A0H52F,MVV1,XETR,http://www.finanzen.at/aktien/MVV_Energie-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
MAGFORCE AG,DE000A0HGQF5,9753,000A0HGQF,MF6,XETR,http://www.finanzen.at/aktien/MagForce-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
PLAN OPTIK         O.N.,DE000A0HGQS8,1137,000A0HGQS,P4O,XETR,http://www.finanzen.at/aktien/Plan_Optik-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
CLIQ DIGITAL AG  O.N.,DE000A0HHJR3,9520,000A0HHJR,CLIQ,XETR,http://www.finanzen.at/aktien/Cliq_Digital-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
2G ENERGY AG,DE000A0HL8N9,17266,000A0HL8N,2GB,XETR,http://www.finanzen.at/aktien/2G_ENERGY-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
WESTGRUND AG,DE000A0HN4T3,3755,000A0HN4T,WEG1,XETR,http://www.finanzen.at/aktien/Westgrund_AG-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
DEUTSCHE WOHNEN AG INH,DE000A0HN5C6,11607,000A0HN5C,DWNI,XETR,http://www.finanzen.at/aktien/Deutsche_Wohnen-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
INCITY IMMOBILIEN    O.N.,DE000A0HNF96,14824,000A0HNF9,IC8,XETR,http://www.finanzen.at/aktien/InCity_Immobilien-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
KTG ENERGIE AG,DE000A0HNG53,1683,000A0HNG5,KB7,XETR,http://www.finanzen.at/aktien/KTG_Energie-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
PNE WIND AG NA O.N.,DE000A0JBPG2,4854,000A0JBPG,PNE3,XETR,http://www.finanzen.at/aktien/PNE_Wind-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
DATAGROUP AG O.N.,DE000A0JC8S7,11993,000A0JC8S,D6H,XETR,http://www.finanzen.at/aktien/DATAGROUP-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
HPI AG,DE000A0JCY37,1755,000A0JCY3,CEW3,XETR,http://www.finanzen.at/aktien/HPI_1-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
AURELIUS EQ.OPP.   O.N.,DE000A0JK2A8,11448,000A0JK2A,AR4,XETR,http://www.finanzen.at/aktien/AURELIUS-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
NANOGATE AG,DE000A0JKHC9,10350,000A0JKHC,N7G,XETR,http://www.finanzen.at/aktien/Nanogate-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
ITN NANOVATION,DE000A0JL461,11435,000A0JL46,I7N,XETR,http://www.finanzen.at/aktien/ItN_Nanovation-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
EMQTEC               O.N.,DE000A0JL529,4817,000A0JL52,EMQ,XETR,http://www.finanzen.at/aktien/emQtec-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
VERBIO VER.BIOENERGIE  ON,DE000A0JL9W6,4429,000A0JL9W,VBK,XETR,http://www.finanzen.at/aktien/VERBIO_Vereinigte_BioEnergie-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
BLUE CAP             O.N.,DE000A0JM2M1,4046,000A0JM2M,B7E,XETR,http://www.finanzen.at/aktien/Blue_Cap-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
MANZ AG,DE000A0JQ5U3,12084,000A0JQ5U,M5Z,XETR,http://www.finanzen.at/aktien/Manz-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
